Country,region,sub-region
Afghanistan,Asia,Southern Asia
Albania,Europe,Southern Europe
Algeria,Africa,Northern Africa
Andorra,Europe,Southern Europe
Angola,Africa,Sub-Saharan Africa
Antigua and Barbuda,Americas,Latin America and the Caribbean
Argentina,Americas,Latin America and the Caribbean
Armenia,Asia,Western Asia
Australia,Oceania,Australia and New Zealand
Austria,Europe,Western Europe
Azerbaijan,Asia,Western Asia
Bahamas,Americas,Latin America and the Caribbean
Bahrain,Asia,Western Asia
Bangladesh,Asia,Southern Asia
Barbados,Americas,Latin America and the Caribbean
Belarus,Europe,Eastern Europe
Belgium,Europe,Western Europe
Belize,Americas,Latin America and the Caribbean
Benin,Africa,Sub-Saharan Africa
Bhutan,Asia,Southern Asia
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean
Bosnia And Herzegovina,Europe,Southern Europe
Botswana,Africa,Sub-Saharan Africa
Brazil,Americas,Latin America and the Caribbean
Brunei Darussalam,Asia,South-eastern Asia
Bulgaria,Europe,Eastern Europe
Burkina Faso,Africa,Sub-Saharan Africa
Burundi,Africa,Sub-Saharan Africa
Cabo Verde,Africa,Sub-Saharan Africa
Cambodia,Asia,South-eastern Asia
Cameroon,Africa,Sub-Saharan Africa
Canada,Americas,Northern America
Central African Republic,Africa,Sub-Saharan Africa
Chad,Africa,Sub-Saharan Africa
Chile,Americas,Latin America and the Caribbean
China,Asia,Eastern Asia
Colombia,Americas,Latin America and the Caribbean
Comoros,Africa,Sub-Saharan Africa
Congo,Africa,Sub-Saharan Africa
Cook Islands,Oceania,Polynesia
Costa Rica,Americas,Latin America and the Caribbean
Cote d'Ivoire,Africa,Sub-Saharan Africa
Croatia,Europe,Southern Europe
Cuba,Americas,Latin America and the Caribbean
Cyprus,Asia,Western Asia
Czechia,Europe,Eastern Europe
Democratic People's Republic of Korea,Asia,Eastern Asia
Democratic Republic of the Congo,Africa,Northern Afrca
Denmark,Europe,Northern Europe
Djibouti,Africa,Sub-Saharan Africa
Dominica,Americas,Latin America and the Caribbean
Dominican Republic,Americas,Latin America and the Caribbean
Ecuador,Americas,Latin America and the Caribbean
Egypt,Africa,Northern Africa
El Salvador,Americas,Latin America and the Caribbean
Equatorial Guinea,Africa,Sub-Saharan Africa
Eritrea,Africa,Sub-Saharan Africa
Estonia,Europe,Northern Europe
Ethiopia,Africa,Sub-Saharan Africa
Fiji,Oceania,Melanesia
Finland,Europe,Northern Europe
France,Europe,Western Europe
Gabon,Africa,Sub-Saharan Africa
Gambia,Africa,Sub-Saharan Africa
Georgia,Asia,Western Asia
Germany,Europe,Western Europe
Ghana,Africa,Sub-Saharan Africa
Gibraltar,Europe,Southern Europe
Greece,Europe,Southern Europe
Grenada,Americas,Latin America and the Caribbean
Guatemala,Americas,Latin America and the Caribbean
Guinea,Africa,Sub-Saharan Africa
Guinea-Bissau,Africa,Sub-Saharan Africa
Guyana,Americas,Latin America and the Caribbean
Haiti,Americas,Latin America and the Caribbean
Honduras,Americas,Latin America and the Caribbean
Hungary,Europe,Eastern Europe
Iceland,Europe,Northern Europe
India,Asia,Southern Asia
Indonesia,Asia,South-eastern Asia
Iran (Islamic Republic of),Asia,Southern Asia
Iraq,Asia,Western Asia
Ireland,Europe,Northern Europe
Israel,Asia,Western Asia
Italy,Europe,Southern Europe
Jamaica,Americas,Latin America and the Caribbean
Japan,Asia,Eastern Asia
Jordan,Asia,Western Asia
Kazakhstan,Asia,Central Asia
Kenya,Africa,Sub-Saharan Africa
Kiribati,Oceania,Micronesia
Kuwait,Asia,Western Asia
Kyrgyzstan,Asia,Central Asia
Lao People's Democratic Republic,Asia,South-eastern Asia
Latvia,Europe,Northern Europe
Lebanon,Asia,Western Asia
Lesotho,Africa,Sub-Saharan Africa
Liberia,Africa,Sub-Saharan Africa
Libya,Africa,Northern Africa
Lithuania,Europe,Northern Europe
Luxembourg,Europe,Western Europe
Madagascar,Africa,Sub-Saharan Africa
Malawi,Africa,Sub-Saharan Africa
Malaysia,Asia,South-eastern Asia
Maldives,Asia,Southern Asia
Mali,Africa,Sub-Saharan Africa
Malta,Europe,Southern Europe
Marshall Islands,Oceania,Micronesia
Mauritania,Africa,Sub-Saharan Africa
Mauritius,Africa,Sub-Saharan Africa
Mexico,Americas,Latin America and the Caribbean
Micronesia (Federated States of),Oceania,Micronesia
Monaco,Europe,Western Europe
Mongolia,Asia,Eastern Asia
Montenegro,Europe,Southern Europe
Morocco,Africa,Northern Africa
Mozambique,Africa,Sub-Saharan Africa
Myanmar,Asia,South-eastern Asia
Namibia,Africa,Sub-Saharan Africa
Nauru,Oceania,Micronesia
Nepal,Asia,Southern Asia
Netherlands,Europe,Western Europe
New Zealand,Oceania,Australia and New Zealand
Nicaragua,Americas,Latin America and the Caribbean
Niger,Africa,Sub-Saharan Africa
Nigeria,Africa,Sub-Saharan Africa
Niue,Oceania,Polynesia
Norway,Europe,Northern Europe
Oman,Asia,Western Asia
Pakistan,Asia,Southern Asia
Palau,Oceania,Micronesia
Panama,Americas,Latin America and the Caribbean
Papua New Guinea,Oceania,Melanesia
Paraguay,Americas,Latin America and the Caribbean
Peru,Americas,Latin America and the Caribbean
Philippines,Asia,South-eastern Asia
Poland,Europe,Eastern Europe
Portugal,Europe,Southern Europe
Republic of Moldova,Europe,Eastern Europe
Republic of Korea,Asia,Eastern Asia
Qatar,Asia,Western Asia
Romania,Europe,Eastern Europe
Russian Federation,Europe,Eastern Europe
Rwanda,Africa,Sub-Saharan Africa
Saint Kitts and Nevis,Americas,Latin America and the Caribbean
Saint Lucia,Americas,Latin America and the Caribbean
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean
Samoa,Oceania,Polynesia
San Marino,Europe,Southern Europe
Sao Tome and Principe,Africa,Sub-Saharan Africa
Saudi Arabia,Asia,Western Asia
Senegal,Africa,Sub-Saharan Africa
Serbia,Europe,Southern Europe
Seychelles,Africa,Sub-Saharan Africa
Sierra Leone,Africa,Sub-Saharan Africa
Singapore,Asia,South-eastern Asia
Slovakia,Europe,Eastern Europe
Slovenia,Europe,Southern Europe
Solomon Islands,Oceania,Melanesia
Somalia,Africa,Sub-Saharan Africa
South Africa,Africa,Sub-Saharan Africa
South Sudan,Africa,Sub-Saharan Africa
Spain,Europe,Southern Europe
Sri Lanka,Asia,Southern Asia
Sudan,Africa,Northern Africa
Suriname,Americas,Latin America and the Caribbean
Swaziland,Africa,Sub-Saharan Africa
Sweden,Europe,Northern Europe
Switzerland,Europe,Western Europe
Sub-Saharan Africa,Asia,Western Asia
Tajikistan,Asia,Central Asia
Thailand,Asia,South-eastern Asia
The former Yugoslav republic of Macedonia,Europe,Southern Europe
Timor-Leste,Asia,South-eastern Asia
Togo,Africa,Sub-Saharan Africa
Tonga,Oceania,Polynesia
Trinidad and Tobago,Americas,Latin America and the Caribbean
Tunisia,Africa,Northern Africa
Turkey,Asia,Western Asia
Turkmenistan,Asia,Central Asia
Tuvalu,Oceania,Polynesia
Uganda,Africa,Sub-Saharan Africa
Ukraine,Europe,Eastern Europe
United Arab Emirates,Asia,Western Asia
United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe
United States of America,Americas,Northern America
Uruguay,Americas,Latin America and the Caribbean
Uzbekistan,Asia,Central Asia
Vanuatu,Oceania,Melanesia
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean
Viet Nam,Asia,South-eastern Asia
Virgin Islands (U.S.),Americas,Latin America and the Caribbean
Yemen,Asia,Western Asia
Zambia,Africa,Sub-Saharan Africa
Zimbabwe,Africa,Sub-Saharan Africa
United Republic of Tanzania,Africa,Eastern Africa
